id,yield
15289,4436.648432533334
15290,6426.083604133333
15291,7214.110467733334
15292,5341.2469046666665
15293,4670.115521022222
15294,5128.250491333332
15295,7362.247535066667
15296,6567.6627598666655
15297,7925.6017819555545
15298,4155.1972163555565
15299,6035.3526468888895
15300,5854.975799644443
15301,5197.81196808889
15302,5998.006862177777
15303,5161.999965111109
15304,4581.657929466667
15305,4481.520559022221
15306,6424.216530355552
15307,4928.355612355557
15308,6207.739689244445
15309,6059.911877244444
15310,7516.993444666665
15311,3950.6076538222214
15312,5227.018692222223
15313,6202.8820996
15314,5291.099280533333
15315,5223.226423155556
15316,7989.020514977779
15317,5685.984642933332
15318,7761.847815511112
15319,8145.431085555556
15320,6859.796653288889
15321,6909.526184177777
15322,4017.816724577777
15323,6006.391399511111
15324,4487.942026488888
15325,6451.857322577776
15326,6525.336866355557
15327,4160.843779333333
15328,7974.670100177778
15329,7595.6503032
15330,5142.4428498666675
15331,5538.719899555555
15332,7175.147724800002
15333,6512.068231288889
15334,5314.2131619111115
15335,8119.537622977779
15336,4087.1494774666667
15337,7345.260151422224
15338,5225.893392488888
15339,5695.74543208889
15340,6764.1354011111125
15341,5827.138998177777
15342,5445.8630170666665
15343,6910.463434400001
15344,6061.026901600001
15345,4723.030445155556
15346,6553.816504488889
15347,6111.65143262222
15348,3702.7391642222215
15349,6734.478949111111
15350,4968.883844533334
15351,6700.131915377777
15352,5846.0173749333335
15353,6754.797305333336
15354,4586.4812266222225
15355,4557.670246533333
15356,6609.267819866667
15357,6532.868926755557
15358,6937.999057688888
15359,5002.956874311112
15360,4829.121912622222
15361,5735.062409244443
15362,5944.905417555555
15363,6974.255217066665
15364,5470.239520800001
15365,4420.344866933333
15366,4929.443098222223
15367,7479.802583999999
15368,5012.792990222223
15369,5864.63879951111
15370,6461.7625183111095
15371,3663.8567507111106
15372,5007.706366400001
15373,6459.866193644445
15374,5527.816120088889
15375,5486.160478044446
15376,6401.367680844443
15377,5840.133757822221
15378,4810.329098488888
15379,6132.330891599999
15380,7142.576387377778
15381,5914.022956577778
15382,5684.70292257778
15383,7328.885377111112
15384,5084.665814088889
15385,4335.554380799999
15386,4145.1837393333335
15387,4605.593265777778
15388,6916.118900711112
15389,6436.069326622225
15390,8298.56447631111
15391,6565.220944000001
15392,7381.966870266668
15393,5850.196348888889
15394,6114.2171602222215
15395,5282.630957999999
15396,6817.224145466667
15397,6666.058414577778
15398,5299.785116311113
15399,5272.416444177778
15400,4583.0258444444435
15401,6049.4256831111115
15402,6247.875089866667
15403,6058.551562044445
15404,7416.782700711108
15405,7497.871865288888
15406,7867.59690408889
15407,6533.326548355557
15408,7437.436678755555
15409,5913.589381199999
15410,6262.124366666668
15411,8363.662302133336
15412,6627.707721466665
15413,6729.5971232444435
15414,5547.9130932
15415,5726.388444177778
15416,7064.178700088887
15417,5841.622263155556
15418,7253.800363866668
15419,4448.158175377777
15420,3856.794460088889
15421,6310.1934203111105
15422,3998.1998613333335
15423,6507.346500222223
15424,6517.540698533333
15425,7149.339478400002
15426,3621.372341599999
15427,7454.037031600001
15428,6248.354089466665
15429,7155.182292711112
15430,6952.411079733332
15431,5078.040309422222
15432,5168.8699292
15433,4070.5227710666663
15434,8297.194549422224
15435,4516.995934177778
15436,4844.073887911111
15437,5150.527140222222
15438,5111.69432168889
15439,6402.516366844445
15440,5304.482116622222
15441,6849.303082266664
15442,5747.029753288889
15443,4546.044840044444
15444,5523.570866444444
15445,3794.788165422223
15446,6796.828753866668
15447,6337.576610488888
15448,7364.256318800002
15449,8212.23284951111
15450,6633.735243733335
15451,5192.5431516
15452,4373.668106622223
15453,7587.394116222221
15454,6194.990199022222
15455,8351.573132933338
15456,5951.246133066666
15457,6085.037645911112
15458,5357.309303200001
15459,6475.030726355556
15460,5734.663046400001
15461,5213.2802376888885
15462,4762.769466888889
15463,6492.473105155557
15464,6483.18966017778
15465,6552.781479777777
15466,7220.653791644445
15467,7537.885409466666
15468,3617.180010711112
15469,3297.7469023111116
15470,7487.401469155555
15471,7099.954438133334
15472,7177.5117807555525
15473,5227.393593733333
15474,6432.531093911111
15475,5212.495946222222
15476,4758.286816844443
